"filename", "language", "Rust", "TOML", "comment", "blank", "total"
"/Users/ahmadzainulabidin/projects/portfolio-rust/api-endpoint/Cargo.toml", "TOML", 0, 27, 1, 4, 32
"/Users/ahmadzainulabidin/projects/portfolio-rust/api-endpoint/build.rs", "Rust", 6, 0, 0, 1, 7
"/Users/ahmadzainulabidin/projects/portfolio-rust/api-endpoint/src/main.rs", "Rust", 56, 0, 1, 9, 66
"/Users/ahmadzainulabidin/projects/portfolio-rust/api-endpoint/src/request/mod.rs", "Rust", 1, 0, 0, 1, 2
"/Users/ahmadzainulabidin/projects/portfolio-rust/api-endpoint/src/request/user.rs", "Rust", 34, 0, 0, 5, 39
"/Users/ahmadzainulabidin/projects/portfolio-rust/api-endpoint/src/response/mod.rs", "Rust", 1, 0, 0, 1, 2
"/Users/ahmadzainulabidin/projects/portfolio-rust/api-endpoint/src/response/user.rs", "Rust", 24, 0, 0, 4, 28
"/Users/ahmadzainulabidin/projects/portfolio-rust/api-endpoint/src/routes/mod.rs", "Rust", 1, 0, 0, 1, 2
"/Users/ahmadzainulabidin/projects/portfolio-rust/api-endpoint/src/routes/user.rs", "Rust", 167, 0, 0, 25, 192
"/Users/ahmadzainulabidin/projects/portfolio-rust/api-endpoint/src/utilities/config.rs", "Rust", 28, 0, 0, 2, 30
"/Users/ahmadzainulabidin/projects/portfolio-rust/api-endpoint/src/utilities/mod.rs", "Rust", 4, 0, 0, 1, 5
"/Users/ahmadzainulabidin/projects/portfolio-rust/api-endpoint/src/utilities/service_register.rs", "Rust", 59, 0, 0, 7, 66
"/Users/ahmadzainulabidin/projects/portfolio-rust/api-endpoint/src/utilities/states/email_service.rs", "Rust", 27, 0, 0, 9, 36
"/Users/ahmadzainulabidin/projects/portfolio-rust/api-endpoint/src/utilities/states/mod.rs", "Rust", 4, 0, 0, 1, 5
"/Users/ahmadzainulabidin/projects/portfolio-rust/api-endpoint/src/utilities/states/templating_service.rs", "Rust", 29, 0, 0, 9, 38
"/Users/ahmadzainulabidin/projects/portfolio-rust/api-endpoint/src/utilities/states/token_service.rs", "Rust", 26, 0, 0, 9, 35
"/Users/ahmadzainulabidin/projects/portfolio-rust/api-endpoint/src/utilities/states/user_service.rs", "Rust", 27, 0, 0, 9, 36
"/Users/ahmadzainulabidin/projects/portfolio-rust/api-endpoint/src/utilities/token.rs", "Rust", 71, 0, 0, 15, 86
"Total", "-", 565, 27, 2, 113, 707
